conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
"1596089954844971008","Sat Nov 26 00:22:46 +0000 2022","1","@SeruniPuspaAlam Kali ini kamu salah sebab lebih banyak pecinan di AS dsripada komunitas AS di RRC. Mereka hanya bela Taiwan supaya tetap demokrasi dari agresi komunis RRC. Muslim boleh jadi apapun di AS tapi AS tidak bebas berada di Timur Tengah. Bendera pelangi saja terlarang di Qatar","1596298382297161728","","SeruniPuspaAlam","in","","0","2","0","https://twitter.com/nusantara_one/status/1596298382297161728","1198400601517748224","nusantara_one"
"1596105168633724930","Fri Nov 25 23:39:06 +0000 2022","1","@wptlzkmoonb @sunfleowr Sotoy lu anjir. Liga Eropa liga2 lain diluar pildun itu udah biasa kampanye pelangi! Makanya LGBT mau ngincer pildun tapi ditolak sama tuan rumah Qatar!","1596287392981274624","","wptlzkmoonb","in","ViscaBarca","0","0","0","https://twitter.com/hansoru/status/1596287392981274624","135086644","hansoru"
"1596286147940225024","Fri Nov 25 23:34:09 +0000 2022","0","kalau lah satu hari nanti kita diberi peluang untuk jadi tuan rumah piala dunia bagaimanakah pemimpin malaysia nak handle bangsa mat salleh ni. yang kuat sangat memperjuangkan LGBT walaupun pada hakikat nya cuma logo pelangi qatar membuktikan mereka ","1596286147940225024","","","in","","0","1","0","https://twitter.com/akif_twitchy/status/1596286147940225024","4701156325","akif_twitchy"
"1596105168633724930","Fri Nov 25 23:18:27 +0000 2022","1","@wptlzkmoonb @sunfleowr Playing victim bgt dancok. Orang2 west udah lama pake armband pelangi swaktu maen di liga sana. Ini yg pny hajat Qatar negara Islam. Yg mana hal kek gt dilarang. Dilarang/nggk mereka ttp bakal pake atribut itu di pildun. Jk dibiarkan brrti Qatar sama saja mewajarkan hal begituan","1596282194158563329","","wptlzkmoonb","in","","0","0","0","https://twitter.com/ReekoGG/status/1596282194158563329","573500509","ReekoGG"
"1596268369522872321","Fri Nov 25 22:23:31 +0000 2022","0","Piala Dunia Qatar: FIFA mengatakan warna pelangi diperbolehkan di stadion https://t.co/bWqJJCkQ2k","1596268369522872321","","","in","","0","0","0","https://twitter.com/kilastekno_com/status/1596268369522872321","1548679369450995712","kilastekno_com"
"1596245683342020609","Fri Nov 25 21:41:58 +0000 2022","0","@direkturhell @idextratime Lumayan jg sih seminggu Qatar ngebanned atribut pelangi itu bener2 mempengaruhi mental tiap negara sblm akhirnya diizinin jg. Jadi ketauan belangnya timnas2 semua.","1596257914100281345","","_bbbfamousss","in","","0","0","0","https://twitter.com/MartabakGosong3/status/1596257914100281345","1475078879429545993","MartabakGosong3"
"1596105168633724930","Fri Nov 25 20:46:46 +0000 2022","0","@wptlzkmoonb @tanyarlfes Karna mereka tiap ada event gede kek pildun ini pasti bakalan bawa atribut pelangi makanya pemerintahan Qatar udah ngasih aturan dari awal biar hal itu ga terjadi lu pwrhatiin aja tiap ada event gede pasti ada yg bawa bendera pelangi","1596244022548664320","","wptlzkmoonb","in","Gangnam-gu, Republic of Korea","0","1","0","https://twitter.com/tyunieeee/status/1596244022548664320","1078009332665442304","tyunieeee"
"1596105168633724930","Fri Nov 25 20:30:42 +0000 2022","0","@tanyarlfes Semoga bisa tp gak yakin Qatar aja sampe luluh dan ngebolehin atribut berbau pelangi masuk stadion","1596239978715320320","","tanyarlfes","in","","0","0","0","https://twitter.com/reveuseisme/status/1596239978715320320","1274297738939621381","reveuseisme"
"1596105168633724930","Fri Nov 25 19:38:47 +0000 2022","1","@tanyarlfes Qatar yang negaranya udah kaya dan mandiri aja cuma sanggup beberapa hari ngelawan kaum pelangi. apalagi indonesia masyarakatnya aja banyak kaum pelangi terus utang di negara besar juga banyak bisa bisa kalo indo ngelarang lgbt dibikin krisis ekonomi sama negara barat","1596226916427890689","","tanyarlfes","in","","0","0","0","https://twitter.com/rinpostor/status/1596226916427890689","2829183517","rinpostor"
"1596096369088864256","Fri Nov 25 19:37:56 +0000 2022","1","@ASTROARENA Ada pemain USA warnakan warna pelangi di rambut ia dilarang dlm fifa Qatar piala dunia. Rambut warna pelangi.... Pemain USA. USA lwn england.","1596226699532054528","","ASTROARENA","in","","0","0","0","https://twitter.com/MohdNoh55677011/status/1596226699532054528","1201826618701803521","MohdNoh55677011"
